position_bin_0,position_bin_1,position_bin_2,position_bin_3,position_bin_4,position_bin_5,position_bin_6,position_bin_7,position_bin_8,position_bin_9,position_bin_10,position_bin_11,position_bin_12,position_bin_13,position_bin_14,position_bin_15,position_bin_16,position_bin_17,position_bin_18,position_bin_19,position_bin_20,position_bin_21,MoSeq_bin_0,MoSeq_bin_1,MoSeq_bin_2,MoSeq_bin_3,MoSeq_bin_4,MoSeq_bin_5,MoSeq_bin_6,MoSeq_bin_7,MoSeq_bin_8,MoSeq_bin_9,MoSeq_bin_10,MoSeq_bin_11,MoSeq_bin_12,MoSeq_bin_13,MoSeq_bin_14,MoSeq_bin_15,MoSeq_bin_16,MoSeq_bin_17,MoSeq_bin_18,MoSeq_bin_19,MoSeq_bin_20,MoSeq_bin_21,Label
0.000945881,0.000778961,0.001520828,0.0005564,0.001724841,0.003023109,0.002373975,0.002336882,0.002837642,0.001743388,0.004210097,0.003245669,0.002040135,0.003653696,0.002930376,0.003987537,0.001891762,0.001910308,0.002930376,0.004451204,0.004970511,0.004914871,0.03310551,0.063007262,0.04015378,0.02114481,0.108714225,0.13178129,0.129645451,0.005553182,0.007902606,0.030328919,0.030756087,0.058949167,0.077744554,0.059376335,0.03417343,0.039940196,0.041435284,0.009397693,0.015591628,0.020717642,0.008970525,0.016659547,0
0.000166843,0.000259533,9.27E-05,0.000166843,0.000278071,0.000426376,0.00087129,0.002261647,0.00213188,0.002929018,0.001816732,0.002484104,0.001853809,0.002669484,0.004115455,0.003281241,0.001853809,0.002372875,0.002465566,0.004004227,0.003800308,0.003855922,0.051582141,0.103164283,0.072821847,0.038361508,0.119202427,0.164716081,0.133073255,0.023407022,0.006718682,0.012570438,0.022106632,0.030992631,0.041612484,0.024707412,0.030559168,0.019072388,0.023623754,0.019939315,0.011703511,0.009536194,0.013220633,0.015171218,0.00E+00
0.000519567,0.001317474,0.000501011,0.000111336,5.57E-05,0.000111336,0.000593791,0.000315452,0.000426787,0.000426787,0.000426787,0.000501011,0.000816463,0.000927799,0.004063758,0.015587018,0.014993227,0.004768885,0.000946355,0.002208161,0.001280362,0.000797907,0.059821623,0.046987166,0.12682184,0.011311725,0.152708288,0.091363933,0.135523167,0.022840983,0.007396128,0.035022841,0.052207962,0.040678704,0.042854035,0.026103981,0.026103981,0.038503372,0.029584512,0.000217533,0.022840983,0.015444855,0.002610398,0.005655863,0.00E+00
7.44E-05,3.72E-05,7.44E-05,7.44E-05,0.000111663,7.44E-05,5.58E-05,5.58E-05,7.44E-05,5.58E-05,7.44E-05,5.58E-05,0.000111663,0.000204716,0.000241937,0.000893306,0.000409432,0.000204716,0.000576927,0.000856085,0.001228295,0.001414401,0.025774991,0.026471613,0.077673285,0.005572971,0.093695576,0.034831069,0.076976663,0.026471613,0.006617903,0.046325322,0.072448624,0.108324626,0.103796587,0.043538837,0.027864855,0.093347266,0.018808777,0.008359457,0.026819923,0.02020202,0.008011146,0.022640195,0
0.018001851,0.019097452,0.001208939,0.001227828,0.001038932,0.000887814,0.000717807,0.000774476,0.001246718,0.000604469,0.001208939,0.001246718,0.003702374,0.015602864,0.005345775,0.002663443,0.003834602,0.004609078,0.003702374,0.010559323,0.029297871,0.020249721,0.247025121,0.178713089,0.055090348,0.08065227,0.037241075,0.049581313,0.04275011,0.018289996,0.074041428,0.00154253,0.027104451,0.031070956,0.01586602,0.037020714,0.016967827,0.018289996,0.008594094,0.003746144,0.010797708,0.003085059,0.010797708,0.015425297,1.00E+00
0.004806889,0.001113565,0.001224922,0.001317719,0.001967298,0.00254264,0.002579759,0.002004417,0.001466194,0.001095006,0.001299159,0.002078655,0.002134333,0.002449843,0.002097214,0.002839591,0.002468403,0.002765353,0.002394165,0.002950947,0.003916037,0.002783913,0.222434672,0.105374973,0.154663267,0.067771404,0.061822817,0.029742936,0.031017633,0.075632037,0.079456129,0.033567028,0.01869556,0.014234119,0.019970257,0.022094752,0.007223284,0.006798385,0.006161037,0.005098789,0.002974294,0.009772679,0.006161037,0.003399193,1.00E+00
0.000241568,0.000260151,0.000260151,0.000130075,0.000408808,0.000353061,0.000501719,0.00042739,0.000520301,0.000464554,0.000687541,0.001746725,0.0018768,0.002935984,0.00784168,0.005741894,0.002211279,0.002991731,0.003028895,0.005351668,0.005147264,0.003716436,0.156138707,0.053420806,0.123898782,0.061480787,0.062417994,0.021180881,0.016119963,0.122961575,0.042174321,0.059606373,0.032614808,0.029240862,0.017806935,0.034114339,0.029240862,0.005998126,0.00656045,0.037675726,0.012371134,0.022680412,0.020618557,0.005810684,1.00E+00
0.003272288,0.000576369,0.000464814,0.000446221,0.002007995,0.001933625,0.001078368,0.001561774,0.003272288,0.003662731,0.006061169,0.015692107,0.010393232,0.009798271,0.025527563,0.015487589,0.014650925,0.008050572,0.011638933,0.001357256,0.000836664,0.000371851,0.335816263,0.025450031,0.0716946,0.030105525,0.009931719,0.002793296,0.004345127,0.18777157,0.17877095,0.067349472,0.042520174,0.012725016,0.00248293,0.008069522,0.00248293,0.001862197,0.001551831,0,0.00496586,0.006517691,0.000620732,0.000620732,1.00E+00
0.001325808,0.001401568,0.003030418,0.002405394,0.002159173,0.001325808,0.003863783,0.002367514,0.001496269,0.00162885,0.000662904,0.000928065,0.000852305,0.000378802,0.000321982,0.000738664,0.001534149,0.001041706,0.000909125,0.001363688,0.000871245,0.001268987,0.265872277,0.182275182,0.034071867,0.103518898,0.061627257,0.037050829,0.016942841,0.024390244,0.084528021,0.059579222,0.023831689,0.018059952,0.010984919,0.017129026,0.008005958,0.004468442,0.002420406,0,0.005771737,0.005585552,0.015267176,0.006144107,1.00E+00
0.000185925,0.000111555,5.58E-05,3.72E-05,3.72E-05,7.44E-05,0.000167333,0.000223111,0.000130148,0.000223111,5.58E-05,0.00014874,3.72E-05,0.000334666,0.000390443,0.000241703,0.000632147,0.000427629,0.000297481,0.000539184,0.001431626,0.002007995,0.250051878,0.108736252,0.065366259,0.121601992,0.037974684,0.030296742,0.015563395,0.076571903,0.085287404,0.047105209,0.02905167,0.020958705,0.010998132,0.020751193,0.015355883,0.001245072,0.002905167,0.013488276,0.006225358,0.004772774,0.018883586,0.004565263,1.00E+00
0.000760484,0.004952423,0.019772597,0.020403242,0.005119359,0.005712908,0.0156734,0.004340326,0.00231855,0.000575,0.000500807,0.000519355,0.001038711,0.000871775,0.00278226,0.000964517,0.000649194,0.004025003,0.006881457,0.000983065,0.000908872,0.00591694,0.174892946,0.102546766,0.092855533,0.029749831,0.137931034,0.069190895,0.078205995,0.019833221,0.047103899,0.01532567,0.051160694,0.027270678,0.027721433,0.019382466,0.012395763,0.027721433,0.013748028,0.002253775,0.017579446,0.0090151,0.003155285,0.007888213,1.00E+00
0.000204002,0.00042655,0.001854565,0.02097513,0.019139111,0.004080043,0.00157638,0.002262569,0.000482187,0.000574915,0.00055637,0.000630552,0.000593461,0.0008531,0.000612006,0.000834554,0.000630552,0.000890191,0.000964374,0.0008531,0.000778917,0.001094193,0.159975545,0.120440187,0.072345629,0.060525779,0.068473609,0.049724883,0.046668025,0.024862441,0.060118198,0.039535358,0.041573263,0.028938251,0.027104137,0.045649073,0.022824536,0.036886081,0.010393316,0.001834115,0.022009374,0.011616059,0.013653964,0.009985735,1.00E+00
